feature,p75_ES,p75_NQ,facteur,sens,seuil_partageable
dist_ext_long_dn,2.0,164.5,82.25,NQ plus grand,False
dist_mq_put_0dte,3.0,246.5,82.16666666666667,NQ plus grand,False
dist_ext_long_up,4.0,164.0,41.0,NQ plus grand,False
dist_mq_put_0dte_pct,0.01,0.208486,20.8486,NQ plus grand,False
delta_div_strength,0.277382,0.015885,17.461882278879447,ES plus grand,False
delta_div_slope_strength,0.277382,0.015885,17.461882278879447,ES plus grand,False
im_price_ratio_slope_10,9e-06,0.000144,16.0,NQ plus grand,False
avg_bid_size,149.1667,10.0,14.91667,ES plus grand,False
avg_trade_size,272.6667,18.6405,14.627649472921863,ES plus grand,False
avg_ask_size,147.6667,10.21845,14.45098816356688,ES plus grand,False
dist_long_up_nearest_pct,0.01,0.14,14.000000000000002,NQ plus grand,False
dist_long_dn_nearest_pct,0.01,0.14,14.000000000000002,NQ plus grand,False
n_big_bid_v2_t3,13.0,1.0,13.0,ES plus grand,False
n_big_bid_t3,13.0,1.0,13.0,ES plus grand,False
dist_mq_hvl_0dte,69.0,820.5,11.891304347826088,NQ plus grand,False
open_gap_ticks,62.0,672.0,10.838709677419354,NQ plus grand,False
dist_vwap_w,76.6367,810.4765500000001,10.575566928116686,NQ plus grand,False
dist_prev_vpoc,81.0,834.0,10.296296296296296,NQ plus grand,False
dist_ib_low,-15.0,-148.0,9.866666666666667,NQ plus grand,False
dist_asia_high_pct,0.267921,-0.027863,9.615655169938629,ES plus grand,False
max_big_bid_vol_in_bar,339.0,36.0,9.416666666666666,ES plus grand,False
max_bid_vol_in_bar,339.0,36.0,9.416666666666666,ES plus grand,False
max_big_ask_vol_in_bar,336.0,37.0,9.08108108108108,ES plus grand,False
max_ask_vol_in_bar,336.0,37.0,9.08108108108108,ES plus grand,False
ib_atr,25.090909,219.925,8.76512684335191,NQ plus grand,False
dist_pdh,184.0,1608.0,8.73913043478261,NQ plus grand,False
low_pullback_delta,34.0,4.0,8.5,ES plus grand,False
dist_cur_vpoc,14.0,118.0,8.428571428571429,NQ plus grand,False
ib_range_ticks,123.0,1024.0,8.325203252032521,NQ plus grand,False
ib_range,31.5625,261.1875,8.275247524752475,NQ plus grand,False
high_pullback_delta,33.0,4.0,8.25,ES plus grand,False
dist_gex_nearest_up,94.0,771.5,8.207446808510639,NQ plus grand,False
dist_swing_low,-5.0,-40.0,8.0,NQ plus grand,False
dist_ib_high,82.0,653.0,7.963414634146342,NQ plus grand,False
dist_ovn_low,-9.0,-71.0,7.888888888888889,NQ plus grand,False
dist_prev_vah,142.0,1097.0,7.725352112676056,NQ plus grand,False
dist_mq_hvl,73.0,559.0,7.657534246575342,NQ plus grand,False
dist_open_cash,45.0,340.0,7.555555555555555,NQ plus grand,False
dist_prev_val,35.0,257.5,7.357142857142857,NQ plus grand,False
div_at_key_level_ticks,9.0,66.0,7.333333333333333,NQ plus grand,False
dist_prev_vwap_sd1u,146.7188,1071.8164000000002,7.305242409289064,NQ plus grand,False
dist_mq_call,436.0,3125.5,7.168577981651376,NQ plus grand,False
dist_ovn_high,150.0,1072.5,7.15,NQ plus grand,False
dist_sess_low,-19.0,-135.0,7.105263157894737,NQ plus grand,False
ctx_vwap_slope_accel,0.005,0.035,7.000000000000001,NQ plus grand,False
n_long_dn_zones_active,3.0,21.0,7.0,NQ plus grand,False
dist_prev_vwap,94.2891,650.4101499999999,6.898041767288053,NQ plus grand,False
atr,72.07,488.84,6.7828500069377,NQ plus grand,False
ovn_range_ticks,215.0,1455.0,6.767441860465116,NQ plus grand,False
dist_vwap_m,153.0684,1032.2734500000001,6.743870387356242,NQ plus grand,False
swing_range_ticks,58.0,388.0,6.689655172413793,NQ plus grand,False
momentum_3b,0.75,5.0,6.666666666666667,NQ plus grand,False
bar_body_ticks,3.0,20.0,6.666666666666667,NQ plus grand,False
dist_open_830,76.0,500.0,6.578947368421052,NQ plus grand,False
dist_mq_call_0dte,235.0,1544.5,6.572340425531915,NQ plus grand,False
dist_vwap_d_sd3u,137.0977,898.375,6.552808690444843,NQ plus grand,False
n_big_ask_t3,13.0,2.0,6.5,ES plus grand,False
n_long_up_zones_active,2.0,13.0,6.5,NQ plus grand,False
n_big_ask_v2_t3,13.0,2.0,6.5,ES plus grand,False
range_size,2.75,17.75,6.454545454545454,NQ plus grand,False
dist_swing_high,37.0,236.0,6.378378378378378,NQ plus grand,False
dist_cur_vah,47.0,290.0,6.170212765957447,NQ plus grand,False
range_h_minus_lprev_ticks,12.0,74.0,6.166666666666667,NQ plus grand,False
range_hprev_minus_l_ticks,12.0,74.0,6.166666666666667,NQ plus grand,False
