sym,unite_min,couche,motif,classe,n_rejetes,part_des_signaux,devenir_moyen_atr,devenir_median_atr,verdict
ES,15,L0,L0_POSITION_OUVERTE,appliquee,272,0.7253,0.0954,0.0,ETRANGLEUSE — au-dessus de 30 %
ES,15,L0,L0_SESSION_BLOQUEE,appliquee,37,0.0987,0.0729,0.0,sous la plage (15-30 %)
ES,15,L5,L5_VETO_RVOL_EXTREME,appliquee,25,0.0667,-0.0086,0.0,sous la plage (10-25 %)
ES,15,L5,L5_FRAIS_TROP_LOURDS,observee,22,0.0587,0.1512,0.201,sous la plage (10-25 %)
ES,15,L5,L5_VETO_GAMMA,appliquee,13,0.0347,-0.4012,-0.1478,sous la plage (10-25 %)
ES,15,L0,L0_NEWS,appliquee,4,0.0107,-4.8184,-5.2615,sous la plage (15-30 %)
ES,15,L0,L0_EOD_LOCKOUT,appliquee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
ES,15,L0,L0_VIX_REGIME,observee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
ES,15,L0,L0_MAX_TRADES_JOUR,observee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
ES,15,L0,L0_STOP_JOURNALIER,appliquee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
ES,15,L0,L0_STOP_PROPFIRM,observee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
ES,15,L0,L0_COOLDOWN,observee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
ES,15,PASSE,(retenus),-,83,0.2213,0.1341,0.1163,-
NQ,15,L0,L0_POSITION_OUVERTE,appliquee,290,0.736,0.1757,0.0268,ETRANGLEUSE — au-dessus de 30 %
NQ,15,L0,L0_SESSION_BLOQUEE,appliquee,51,0.1294,0.1045,0.0,sous la plage (15-30 %)
NQ,15,L5,L5_VETO_RVOL_EXTREME,appliquee,25,0.0635,-0.0364,0.0,sous la plage (10-25 %)
NQ,15,L0,L0_NEWS,appliquee,4,0.0102,-1.1795,-0.8438,sous la plage (15-30 %)
NQ,15,L0,L0_EOD_LOCKOUT,appliquee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
NQ,15,L0,L0_VIX_REGIME,observee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
NQ,15,L0,L0_MAX_TRADES_JOUR,observee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
NQ,15,L0,L0_STOP_JOURNALIER,appliquee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
NQ,15,L0,L0_STOP_PROPFIRM,observee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
NQ,15,L0,L0_COOLDOWN,observee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
NQ,15,L5,L5_VETO_GAMMA,appliquee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
NQ,15,L5,L5_FRAIS_TROP_LOURDS,observee,0,0.0,,,"INERTE — ne rejette rien, ne protege de rien"
NQ,15,PASSE,(retenus),-,87,0.2208,0.2531,0.2642,-
