date,sym,colonne,n,echantillon,p10,p25,p50,p75,p90,p95,p99,max
2026-09-07,ES,ask_pct,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",0.42822,0.462,0.4987,0.5347,0.5691,0.589,0.630816,0.7312
2026-09-07,ES,abs_delta_sur_vol,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",0.012931,0.034398,0.072829,0.125903,0.18268,0.219196,0.298416,0.462374
2026-09-07,ES,finish_delta_pct,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",0.18354,0.4643,1.0,1.0,1.0,1.0,1.0,1.0
2026-09-07,ES,meche_haute_part_prix_DUMPER,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",0.0,0.0032,0.0064,0.0097,0.0161,0.0195,0.0323,0.1007
2026-09-07,ES,big_ask_print_nonzero,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",138.2,181.0,242.0,328.5,435.0,542.0,838.58,4490.0
2026-09-07,ES,big_bid_print_nonzero,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",140.0,183.0,244.0,331.0,440.0,536.0,830.16,4560.0
2026-09-07,ES,range_points,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",1.0,1.25,2.0,2.75,3.75,4.75,7.0,19.75
2026-09-07,ES,total_vol,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",877.0,1194.0,1772.0,2787.5,4147.0,5312.7,8826.28,117514.0
2026-09-07,NQ,ask_pct,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",0.427,0.4622,0.504,0.5448,0.5816,0.60318,0.644674,0.7229
2026-09-07,NQ,abs_delta_sur_vol,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",0.014412,0.038646,0.082051,0.139485,0.198688,0.235804,0.306075,0.601259
2026-09-07,NQ,finish_delta_pct,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-09-07,NQ,meche_haute_part_prix_DUMPER,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",0.0017,0.0041,0.0084,0.0152,0.02488,0.03329,0.057758,0.1454
2026-09-07,NQ,big_ask_print_nonzero,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",16.0,20.0,26.0,36.0,55.0,71.0,119.0,761.0
2026-09-07,NQ,big_bid_print_nonzero,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",15.0,19.0,26.0,35.0,52.0,68.0,120.0,816.0
2026-09-07,NQ,range_points,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",6.0,7.75,11.25,17.25,25.75,33.0,49.25,113.75
2026-09-07,NQ,total_vol,7643,"toutes les barres 1 min cash, 25 derniers jours (PAS conditionnees aux signaux L3 — a re-poser sur les fenetres post-signal a la mesure)",326.0,436.0,651.0,1093.0,1786.2,2308.8,3900.62,13210.0
